node_count,relationship_count,result_count,gpu_conversion_time,gpu_runtime,cypher_runtime,cypher_query
4,3,395364,160,694,2603,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (B:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Person)-[:ACTS_IN]->(C:Movie) RETURN A, B, C, D;
4,3,583901,230,996,3000,MATCH (A:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Person)-[:ACTS_IN]->(D:Movie) RETURN A, B, C, D;
4,3,395364,119,1565,3483,MATCH (A:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(D:Movie) RETURN A, B, C, D;
4,3,15136,156,150,151,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(C:Movie), (D:Director:Person)-[:DIRECTED]->(C:Movie) RETURN A, B, C, D;
4,3,8741,136,259,263,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (B:Director:Person)-[:DIRECTED]->(C:Movie), (D:Director:Person)-[:DIRECTED]->(C:Movie) RETURN A, B, C, D;
4,3,8741,146,267,294,MATCH (A:Director:Person)-[:DIRECTED]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(D:Movie) RETURN A, B, C, D;
4,3,312704,157,1170,1203,MATCH (A:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Person)-[:ACTS_IN]->(B:Movie), (D:Actor:Person)-[:ACTS_IN]->(B:Movie) RETURN A, B, C, D;
4,3,59306,136,339,320,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (C:Director:Person)-[:DIRECTED]->(A:Movie), (D:Actor:Person)-[:ACTS_IN]->(A:Movie) RETURN A, B, C, D;
4,3,59306,144,356,332,MATCH (A:Director:Person)-[:DIRECTED]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(B:Movie), (D:Actor:Person)-[:ACTS_IN]->(B:Movie) RETURN A, B, C, D;
4,3,59306,150,345,331,MATCH (A:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(B:Movie), (D:Director:Person)-[:DIRECTED]->(B:Movie) RETURN A, B, C, D;
4,3,170393,143,704,520,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Person)-[:ACTS_IN]->(C:Movie) RETURN A, B, C, D;
4,3,24258,169,92,121,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (B:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(C:Movie) RETURN A, B, C, D;
4,3,138095,125,774,499,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(C:Movie), (D:Actor:Person)-[:ACTS_IN]->(C:Movie) RETURN A, B, C, D;
4,3,132340,147,175,364,MATCH (A:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(D:Movie) RETURN A, B, C, D;
4,3,1329526,117,36857,11063,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (C:Actor:Person)-[:ACTS_IN]->(A:Movie), (D:Actor:Person)-[:ACTS_IN]->(A:Movie) RETURN A, B, C, D;
4,3,7014,109,33,185,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie) RETURN A, B, C, D;
4,3,583901,143,1233,2990,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (C:Actor:Person)-[:ACTS_IN]->(A:Movie), (C:Actor:Person)-[:ACTS_IN]->(D:Movie) RETURN A, B, C, D;
4,3,170393,149,364,746,MATCH (A:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(D:Movie) RETURN A, B, C, D;
4,3,2998,354,98,107,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Director:Person)-[:DIRECTED]->(C:Movie) RETURN A, B, C, D;
4,3,425898,146,278,1495,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (B:Director:Person)-[:DIRECTED]->(C:Movie), (B:Director:Person)-[:DIRECTED]->(D:Movie) RETURN A, B, C, D;
4,3,1705,109,33,43,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (B:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie) RETURN A, B, C, D;
4,3,5423141,124,31395,57222,MATCH (A:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Person)-[:ACTS_IN]->(D:Movie) RETURN A, B, C, D;
4,3,977,846,27,106,MATCH (A:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(D:Movie) RETURN A, B, C, D;
4,3,583901,200,1077,2698,MATCH (B:Actor:Person)-[:ACTS_IN]->(A:Movie), (B:Actor:Person)-[:ACTS_IN]->(C:Movie), (D:Director:Person)-[:DIRECTED]->(C:Movie) RETURN A, B, C, D;
4,3,129338,128,62,426,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(D:Movie) RETURN A, B, C, D;
4,3,8741,114,68,211,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (C:Director:Person)-[:DIRECTED]->(A:Movie), (C:Director:Person)-[:DIRECTED]->(D:Movie) RETURN A, B, C, D;
4,3,15136,123,128,88,MATCH (A:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(D:Movie) RETURN A, B, C, D;
4,3,12928,113,54,214,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(C:Movie) RETURN A, B, C, D;
4,3,15136,116,116,91,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(A:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(D:Movie) RETURN A, B, C, D;
4,3,780,143,27,94,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie) RETURN A, B, C, D;
4,3,17064,117,187,120,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (C:Director:Person)-[:DIRECTED]->(A:Movie), (D:Director:Person)-[:DIRECTED]->(A:Movie) RETURN A, B, C, D;
4,3,17064,118,163,125,MATCH (A:Director:Person)-[:DIRECTED]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(B:Movie), (D:Director:Person)-[:DIRECTED]->(B:Movie) RETURN A, B, C, D;
