node_count,relationship_count,result_count,gpu_conversion_time,gpu_runtime,cypher_runtime,cypher_query
4,6,32,194,89,290,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(C:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(C:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(A:Movie) RETURN A, B, C, D;
4,6,1032,120,415,333,MATCH (A:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Person)-[:ACTS_IN]->(D:Movie), (A:Actor:Director:Person)-[:DIRECTED]->(D:Movie), (A:Actor:Director:Person)-[:ACTS_IN]->(D:Movie), (A:Actor:Director:Person)-[:ACTS_IN]->(B:Movie) RETURN A, B, C, D;
4,6,16,114,61,155,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (B:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(C:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(A:Movie) RETURN A, B, C, D;
4,6,16,109,62,162,MATCH (A:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(B:Movie), (C:Director:Person)-[:DIRECTED]->(D:Movie), (A:Actor:Director:Person)-[:DIRECTED]->(D:Movie), (A:Actor:Director:Person)-[:ACTS_IN]->(D:Movie), (A:Actor:Director:Person)-[:ACTS_IN]->(B:Movie) RETURN A, B, C, D;
4,6,1032,115,996,365,MATCH (A:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(D:Movie), (A:Actor:Person)-[:ACTS_IN]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(B:Movie) RETURN A, B, C, D;
4,6,1032,120,444,381,MATCH (A:Actor:Person)-[:ACTS_IN]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(D:Movie), (A:Actor:Person)-[:ACTS_IN]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(B:Movie) RETURN A, B, C, D;
4,6,12,123,51,134,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(A:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(A:Movie) RETURN A, B, C, D;
4,6,12,137,56,122,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(C:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(C:Movie) RETURN A, B, C, D;
4,6,32,124,56,162,MATCH (B:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (B:Actor:Director:Person)-[:ACTS_IN]->(A:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(A:Movie) RETURN A, B, C, D;
4,6,32,115,62,249,MATCH (A:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(B:Movie), (C:Actor:Director:Person)-[:DIRECTED]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(D:Movie), (C:Actor:Director:Person)-[:ACTS_IN]->(B:Movie), (A:Actor:Director:Person)-[:ACTS_IN]->(B:Movie) RETURN A, B, C, D;
4,6,16,119,63,134,MATCH (B:Director:Person)-[:DIRECTED]->(A:Movie), (B:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(C:Movie), (D:Actor:Director:Person)-[:DIRECTED]->(A:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(A:Movie), (D:Actor:Director:Person)-[:ACTS_IN]->(C:Movie) RETURN A, B, C, D;
